aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,unix,temperature,humidity,wind_speed,hour,weekday,month,city_encoded
2,0.052605813271600334,-0.4814254125321218,0.4136482341941716,0.3518940550323403,1.0271021379614076,12.5,0.39820551649743613,0.452754626410827,2025-05-07 19:00:00+00:00,1746644400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,19,2,5,3
2,0.11321188354051216,-0.4814254125321218,0.5534047514907983,0.0301955625498372,0.803491875562441,12.79,0.4056074729109653,0.7206653878181019,2025-05-07 20:00:00+00:00,1746648000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,20,2,5,3
2,0.14313133595174746,-0.4814254125321218,0.5999902572563406,-0.23738542652439443,0.5540804290405166,13.05,0.4302806609560627,0.9157743118864436,2025-05-07 21:00:00+00:00,1746651600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,21,2,5,3
2,0.021919195413922715,-0.4814254125321218,0.5114777963018103,-0.5455545431548291,0.2530666142726767,13.11,0.4307741247169649,1.1720367793194892,2025-05-07 22:00:00+00:00,1746655200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,22,2,5,3
2,-0.03791970940854788,-0.4814254125321218,0.41830678477072575,-0.8577323637414327,0.0036551677507522242,13.25,0.43718915360869004,1.5302218190270416,2025-05-07 23:00:00+00:00,1746658800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,23,2,5,3
2,-0.08855262887371497,-0.4814254125321218,0.34842852612241243,-1.109278536990991,-0.14255154227934133,13.39,0.4628492691755915,1.8476378298247913,2025-05-08 00:00:00+00:00,1746662400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,0,3,5,3
2,-0.12767806664225378,-0.4814254125321218,0.297184469780316,-1.30770938282132,-0.22855548935586706,13.54,0.494924413634218,2.1941745755581143,2025-05-08 01:00:00+00:00,1746666000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,1,3,5,3
2,-0.1368840519995562,-0.4814254125321218,0.3018430203568701,-1.4740705970023027,-0.2973586470170875,13.74,0.5265060943319427,2.485381924913848,2025-05-08 02:00:00+00:00,1746669600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,2,3,5,3
2,-0.13228105932090445,-0.4814254125321218,0.4136482341941716,-1.6314122272819072,-0.2973586470170875,14.0,0.5422969346808051,2.750380612827566,2025-05-08 03:00:00+00:00,1746673200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,3,3,5,3
2,-0.12307507396360202,-0.12387598035601396,0.8142835837778348,-1.8709322886629607,-0.23715588406351965,13.85,0.5067675438958649,2.7358202453597795,2025-05-08 04:00:00+00:00,1746676800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,4,3,5,3
